
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd.Rev")
   Processing file "scripts/combined_evidence_fbd.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 51 different moves in a random move schedule with 115 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   clock_morp..      |clock_morp..      |clock_morp..   |   clock_nucl..   |      root_time   |    elapsed   |        ETA   |
10400       |   -2.61237e+06   |   -2.60211e+06   |       -10265.5   |        14.1968      |     15.3589      |    0.954939   |      0.2454341   |       22.93562   |   07:29:44   |   64:34:37   |
10500       |   -2.61237e+06   |   -2.60211e+06   |       -10258.2   |        14.2793      |      16.935      |     1.11378   |       0.244399   |       23.08561   |   07:33:55   |   64:29:05   |
10600       |   -2.61236e+06   |   -2.60211e+06   |       -10248.6   |         15.031      |     17.0412      |     1.00695   |      0.2442816   |        26.7529   |   07:37:42   |   64:20:13   |
10700       |   -2.61236e+06   |   -2.60211e+06   |       -10245.9   |        12.7163      |     16.1006      |     1.34034   |      0.2435952   |       13.07063   |   07:41:51   |   64:14:30   |
10800       |   -2.61237e+06   |   -2.60211e+06   |       -10257.9   |        12.6336      |     15.8157      |     1.24366   |      0.2438274   |       20.18397   |   07:45:58   |   64:08:32   |
10900       |   -2.61238e+06   |   -2.60211e+06   |       -10271.3   |        13.6859      |     14.9777      |     1.33395   |      0.2438358   |       17.81475   |   07:50:08   |   64:03:00   |
11000       |   -2.61238e+06   |   -2.60211e+06   |       -10268.4   |        14.8036      |     13.5816      |     1.20468   |      0.2427875   |       29.11536   |   07:54:26   |   63:58:35   |
11100       |   -2.61238e+06   |   -2.60211e+06   |       -10269.5   |        13.8547      |     14.7537      |      1.0311   |      0.2430475   |       29.95927   |   07:58:34   |   63:52:50   |
11200       |   -2.61238e+06   |   -2.60211e+06   |       -10267.9   |        16.3201      |     13.1038      |     1.12238   |      0.2442205   |       14.21445   |   08:02:53   |   63:48:34   |
11300       |   -2.61237e+06   |   -2.60211e+06   |       -10253.3   |        12.3997      |     12.1932      |     1.11959   |      0.2441441   |       28.47779   |   08:07:21   |   63:45:28   |
11400       |   -2.61235e+06   |   -2.60211e+06   |       -10245.9   |        13.7349      |     13.3728      |     1.14429   |      0.2441932   |       28.28288   |   08:11:39   |   63:41:04   |
11500       |   -2.61237e+06   |   -2.60211e+06   |       -10260.2   |        14.2751      |     11.5525      |     1.11954   |      0.2439435   |       19.47522   |   08:15:52   |   63:36:01   |
11600       |   -2.61237e+06   |   -2.60211e+06   |       -10258.6   |        14.3564      |       14.02      |     1.23585   |      0.2439651   |       28.05821   |   08:19:50   |   63:29:04   |
11700       |   -2.61237e+06   |   -2.60211e+06   |       -10264.2   |         12.909      |      15.422      |     1.21673   |      0.2424439   |       23.65316   |   08:23:51   |   63:22:33   |
11800       |   -2.61238e+06   |   -2.60211e+06   |       -10270.5   |        12.5708      |     11.2133      |     1.34614   |      0.2438797   |       18.84043   |   08:28:19   |   63:19:27   |
11900       |    -2.6124e+06   |   -2.60211e+06   |       -10280.6   |        13.6978      |     12.5689      |     1.07202   |      0.2443259   |       20.38597   |   08:32:11   |   63:11:52   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   clock_morp..      |clock_morp..      |clock_morp..   |   clock_nucl..   |      root_time   |    elapsed   |        ETA   |
